Wavelength,Intensity
1500,0
1500.146628,5
1500.293255,34
1500.439883,25
1500.58651,32
1500.733138,0
1500.879765,1
1501.026393,16
1501.173021,5
1501.319648,34
1501.466276,21
1501.612903,16
1501.759531,22
1501.906158,15
1502.052786,36
1502.199413,34
1502.346041,10
1502.492669,25
1502.639296,17
1502.785924,17
1502.932551,17
1503.079179,0
1503.225806,11
1503.372434,13
1503.519062,2
1503.665689,35
1503.812317,0
1503.958944,13
1504.105572,0
1504.252199,33
1504.398827,0
1504.545455,17
1504.692082,18
1504.83871,13
1504.985337,9
1505.131965,0
1505.278592,13
1505.42522,13
1505.571848,25
1505.718475,3
1505.865103,0
1506.01173,6
1506.158358,5
1506.304985,13
1506.451613,26
1506.59824,26
1506.744868,16
1506.891496,0
1507.038123,5
1507.184751,6
1507.331378,19
1507.478006,16
1507.624633,29
1507.771261,17
1507.917889,0
1508.064516,18
1508.211144,0
1508.357771,26
1508.504399,24
1508.651026,25
1508.797654,9
1508.944282,0
1509.090909,13
1509.237537,0
1509.384164,0
1509.530792,0
1509.677419,18
1509.824047,18
1509.970674,17
1510.117302,23
1510.26393,0
1510.410557,28
1510.557185,6
1510.703812,15
1510.85044,23
1510.997067,9
1511.143695,21
1511.290323,30
1511.43695,13
1511.583578,9
1511.730205,17
1511.876833,21
1512.02346,0
1512.170088,23
1512.316716,0
1512.463343,15
1512.609971,37
1512.756598,14
1512.903226,13
1513.049853,9
1513.196481,13
1513.343109,0
1513.489736,13
1513.636364,16
1513.782991,26
1513.929619,26
1514.076246,38
1514.222874,1
1514.369501,5
1514.516129,0
1514.662757,9
1514.809384,12
1514.956012,0
1515.102639,0
1515.249267,19
1515.395894,13
1515.542522,14
1515.68915,23
1515.835777,3
1515.982405,21
1516.129032,13
1516.27566,1
1516.422287,3
1516.568915,14
1516.715543,0
1516.86217,8
1517.008798,14
1517.155425,1
1517.302053,18
1517.44868,29
1517.595308,26
1517.741935,9
1517.888563,17
1518.035191,7
1518.181818,1
1518.328446,2
1518.475073,15
1518.621701,18
1518.768328,0
1518.914956,20
1519.061584,18
1519.208211,37
1519.354839,15
1519.501466,0
1519.648094,0
1519.794721,2
1519.941349,14
1520.087977,33
1520.234604,0
1520.381232,18
1520.527859,15
1520.674487,5
1520.821114,6
1520.967742,13
1521.11437,12
1521.260997,3
1521.407625,21
1521.554252,0
1521.70088,17
1521.847507,15
1521.994135,21
1522.140762,19
1522.28739,0
1522.434018,17
1522.580645,8
1522.727273,0
1522.8739,21
1523.020528,0
1523.167155,12
1523.313783,0
1523.460411,14
1523.607038,0
1523.753666,2
1523.900293,2
1524.046921,0
1524.193548,14
